"LogicalName","SchemaName","EntitySetName","DisplayName"
"activitypointer","ActivityPointer","activitypointers","Activity"
"annotation","Annotation","annotations","Note"
"campaignresponse","CampaignResponse","campaignresponses","Campaign Response"
"connection","Connection","connections","Connection"
"powerpagesite","powerpagesite","powerpagesites","Site"
"product","Product","products","Product"
"queueitem","QueueItem","queueitems","Queue Item"
"rm_adminsettings","rm_AdminSettings","rm_adminsettingses","Admin Settings"
"rm_boxgenealogy","rm_BoxGenealogy","rm_boxgenealogies","Box Genealogy"
"rm_color","rm_Color","rm_colors","Color"
"rm_colorsub","rm_ColorSub","rm_colorsubs","Color Sub"
"rm_containertype","rm_ContainerType","rm_containertypes","ContainerType"
"rm_customer","rm_Customer","rm_customers","Company"
"rm_customercontact","rm_CustomerContact","rm_customercontacts","Company Contact"
"rm_docks","rm_Docks","rm_dockses","Docks"
"rm_downtimereason","rm_DowntimeReason","rm_downtimereasons","DowntimeReason"
"rm_format","rm_Format","rm_formats","Format"
"rm_formatsub","rm_FormatSub","rm_formatsubs","FormatSub"
"rm_formattype","rm_FormatType","rm_formattypes","Format Type"
"rm_formulationbox","rm_FormulationBox","rm_formulationboxes","Formulation Box"
"rm_formulationlines","rm_FormulationLines","rm_formulationlineses","Formulation Lines"
"rm_formulator","rm_Formulator","rm_formulators","Formulator"
"rm_incoterm","rm_Incoterm","rm_incoterms","Incoterm"
"rm_inventory","rm_Inventory","rm_inventories","Inventory"
"rm_lot","rm_Lot","rm_lots","Lot"
"rm_lotgenealogy","rm_LotGenealogy","rm_lotgenealogies","Lot Genealogy"
"rm_machine","rm_Machine","rm_machines","Machine"
"rm_material","rm_Material","rm_materials","Material"
"rm_materialstatus1","rm_MaterialStatus1","rm_materialstatus1s","Material Status"
"rm_materialsub","rm_MaterialSub","rm_materialsubs","Material Sub"
"rm_motivevehicle","rm_MotiveVehicle","rm_motivevehicles","Motive Vehicle"
"rm_motivewebhookevent","rm_MotiveWebhookEvent","rm_motivewebhookevents","Motive Webhook Event"
"rm_option","rm_Option","rm_options","Option"
"rm_plant","rm_Plant","rm_plants","Plant"
"rm_pricontact","rm_PRIContact","rm_pricontacts","PRI Contact"
"rm_printlog","rm_PrintLog","rm_printlogs","Print Log"
"rm_process","rm_Process","rm_processes","Process"
"rm_procurement","rm_Procurement","rm_procurements","Procurement"
"rm_product","rm_Product","rm_products","Product PRI"
"rm_productionrun","rm_ProductionRun","rm_productionruns","ProductionRun"
"rm_qualitycontrol","rm_QualityControl","rm_qualitycontrols","Quality Control"
"rm_qualitystatus","rm_QualityStatus","rm_qualitystatuses","Quality Status"
"rm_rowmove","rm_RowMove","rm_rowmoves","Row Move"
"rm_runinput","rm_RunInput","rm_runinputs","RunInput"
"rm_runinputbox","rm_RunInputBox","rm_runinputboxes","RunInputBox"
"rm_runoutput","rm_RunOutput","rm_runoutputs","RunOutput"
"rm_site","rm_Site","rm_sites","Site PRI"
"rm_sitecustomer","rm_SiteCustomer","rm_sitecustomers","Site Company"
"rm_storagerow","rm_StorageRow","rm_storagerows","Storage Row"
"rm_transportation","rm_Transportation","rm_transportations","Transportation"
"rm_transportationbox","rm_TransportationBox","rm_transportationboxes","TransportationBox"
"rm_transportationlot","rm_TransportationLot","rm_transportationlots","TransportationLot"
"rm_transporttype","rm_TransportType","rm_transporttypes","Transport Type"
"slakpiinstance","SLAKPIInstance","slakpiinstances","SLA KPI Instance"
"syncerror","SyncError","syncerrors","Sync Error"
"systemuser","SystemUser","systemusers","User"
